id,filepath,class,timestamp,x_min,y_min,width,height
261,porcupine (2)_aug_22.png,porcupine,2025-04-04T00:08:14,0.4406,0.362,0.0322,0.075
181,boar (26).png,boar,2024-12-30T07:19:07,0.1703,0.3675,0.6364,0.5935
332,podolic_cow (138).png,podolic_cow,,0.8703,0.1805,0.1296,0.3888
542,podolic_cow (225).png,podolic_cow,,0.6937,0.1851,0.1296,0.4212
534,podolic_cow (222).png,podolic_cow,2025-03-25T08:41:48,0.4927,0.099,0.5072,0.8629
106,podolic_cow (51).png,podolic_cow,,0.0005,0.0009,0.6468,0.9509
261,porcupine (2)_aug_18.png,porcupine,2025-04-04T00:08:14,0.4406,0.362,0.0322,0.075
449,wolf (9)_aug_33.png,wolf,,0.8885,0.4101,0.0828,0.2435
195,lizard (2)_aug_42.png,lizard,,0.6244,0.4231,0.0171,0.0694
136,podolic_cow (61).png,podolic_cow,,0.8421,0.3268,0.1578,0.3722
285,badger (2)_aug_26.png,badger,2025-03-29T00:52:16,0.6046,0.4287,0.0703,0.0842
590,weasel_aug_44.png,weasel,,0.2817,0.749,0.1869,0.1222
189,porcupine (1)_aug_9.png,porcupine,,0.3854,0.4231,0.0557,0.1268
572,cat (11)_aug_23.png,cat,2025-02-16T11:27:09,0.2223,0.5157,0.0791,0.124
5,butterfly_aug_32.png,butterfly,,0.0369,0.0481,0.0317,0.1851
660,bird (198).png,bird,,0.4781,0.4972,0.076,0.3277
612,dog (2)_aug_8.png,dog,,0.9593,0.4148,0.0406,0.2074
145,bird (36).png,bird,2025-12-04T10:27:34,0.0,0.5481,0.2421,0.2861
590,weasel_aug_20.png,weasel,,0.2817,0.749,0.1869,0.1222
74,bird (18).png,bird,2024-12-17T08:24:43,0.9395,0.8564,0.0531,0.1064
664,podolic_cow (273).png,podolic_cow,2025-03-25T08:36:17,0.6203,0.6824,0.227,0.3166
201,podolic_cow (86).png,podolic_cow,,0.0,0.0,0.5114,0.9518
283,boar (42).png,boar,,0.4546,0.2703,0.0213,0.0916
195,lizard (2)_aug_38.png,lizard,,0.6244,0.4231,0.0171,0.0694
446,bird (126).png,bird,2025-04-19T07:44:51,0.5953,0.5518,0.2609,0.2194
49,boar (4).png,boar,2024-12-17T07:50:26,0.2588,0.1629,0.2239,0.2592
261,porcupine (2)_aug_30.png,porcupine,2025-04-04T00:08:14,0.4406,0.362,0.0322,0.075
329,bird (89).png,bird,,0.3484,0.7731,0.0562,0.1203
89,wolf (1).png,wolf,,0.4447,0.5731,0.1244,0.3777
433,podolic_cow (178).png,podolic_cow,,0.2364,0.0037,0.7635,0.949
174,wolf (3)_aug_15.png,wolf,,0.701,0.4148,0.0473,0.1611
43,lizard_aug_12.png,lizard,2025-12-04T10:59:00,0.039,0.0574,0.0322,0.1888
393,bird (106).png,bird,,0.2088,0.4916,0.0614,0.0972
597,fox (45).png,fox,2025-09-02T19:57:48,0.464,0.3787,0.0364,0.0592
308,boar (46).png,boar,2024-12-22T15:45:40,0.6869,0.3666,0.313,0.5935
59,podolic_cow (29).png,podolic_cow,,0.0,0.4842,0.1734,0.4685
508,bird (144).png,bird,,0.4177,0.7657,0.2359,0.2203
316,podolic_cow (132).png,podolic_cow,2025-01-04T08:21:40,0.263,0.1851,0.3062,0.4518
12,fox (1).png,fox,2025-02-15T11:18:49,0.1432,0.4379,0.0562,0.1444
114,bird (30).png,bird,,0.5046,0.712,0.3442,0.2851
5,butterfly_aug_6.png,butterfly,,0.0369,0.0481,0.0317,0.1851
118,boar (16).png,boar,2024-12-18T00:26:25,0.6666,0.3249,0.2182,0.637
26,cat (1)_aug_37.png,cat,2025-03-30T10:15:01,0.327,0.7361,0.2005,0.2259
