id,filepath,class,timestamp,x_min,y_min,width,height
0,podolic_cow.png,podolic_cow,2025-02-20T10:42:37,0.6979,0.075,0.302,0.8768
1,bird.png,bird,,0.225,0.6601,0.1776,0.3175
3,podolic_cow (1).png,podolic_cow,,0.0,0.0009,0.4427,0.9509
5,butterfly.png,other,,0.0369,0.0481,0.0317,0.1851
7,podolic_cow (3).png,podolic_cow,,0.0,0.0,0.5416,0.9509
8,podolic_cow (4).png,podolic_cow,,0.3453,0.0805,0.6546,0.8694
10,bird (3).png,bird,,0.3786,0.4703,0.2671,0.3277
11,fox.png,fox,2025-12-03T12:50:57,0.9677,0.8564,0.0322,0.0703
12,fox (1).png,fox,2025-02-15T11:18:49,0.1432,0.4379,0.0562,0.1444
13,podolic_cow (5).png,podolic_cow,2025-01-12T10:10:42,0.0,0.1425,0.6447,0.8101
15,podolic_cow (7).png,podolic_cow,,0.0,0.1472,0.6499,0.8037
16,fox (2).png,fox,,0.0,0.6296,0.0796,0.1879
17,bird (4).png,bird,,0.0578,0.7129,0.139,0.1759
18,podolic_cow (8).png,podolic_cow,,0.0,0.0666,0.2374,0.8861
19,podolic_cow (9).png,podolic_cow,2025-01-04T08:08:55,0.8911,0.7851,0.0973,0.2129
20,podolic_cow (10).png,podolic_cow,,0.0,0.1925,0.2354,0.5046
23,podolic_cow (12).png,podolic_cow,,0.2062,0.0,0.3927,0.4277
24,podolic_cow (13).png,podolic_cow,2025-03-17T10:21:13,0.3416,0.1962,0.5161,0.7546
25,bird (6).png,bird,,0.3427,0.5055,0.0583,0.0777
26,cat (1).png,cat,2025-03-30T10:15:01,0.327,0.7361,0.2005,0.2259
28,podolic_cow (15).png,podolic_cow,,0.439,0.2166,0.5359,0.6925
29,bird (7).png,bird,,0.2619,0.6499,0.1213,0.3416
30,wolf.png,wolf,2025-03-30T07:57:45,0.526,0.874,0.1078,0.125
31,podolic_cow (16).png,podolic_cow,2025-02-23T18:08:27,0.5213,0.2111,0.4499,0.5833
32,bird (8).png,bird,2025-04-19T06:41:15,0.3359,0.6231,0.2489,0.149
