id,filepath,class,timestamp,x_min,y_min,width,height
249,podolic_cow (105).png,podolic_cow,,0.4963,0.6648,0.2463,0.3342
357,cat (6).png,cat,,0.5703,0.9425,0.0697,0.0564
213,podolic_cow (94).png,podolic_cow,2025-02-24T18:47:31,0.202,0.0009,0.5369,0.9499
260,bird (68).png,bird,,0.364,0.6879,0.1562,0.3101
611,podolic_cow (252).png,podolic_cow,2025-01-04T08:14:16,0.5213,0.0509,0.4786,0.7749
296,boar (45).png,boar,2024-12-30T10:30:57,0.5104,0.1851,0.1239,0.3537
271,podolic_cow (111).png,podolic_cow,2025-03-13T14:58:42,0.0979,0.1222,0.3265,0.6157
137,podolic_cow (62).png,podolic_cow,,0.0005,0.0796,0.626,0.8731
290,boar (44).png,boar,2025-03-28T17:56:09,0.3109,0.8287,0.0937,0.1703
33,boar.png,boar,2024-12-27T07:22:57,0.0463,0.2453,0.2322,0.7157
218,podolic_cow (97).png,podolic_cow,,0.076,0.1361,0.6171,0.8148
247,bird (66).png,bird,,0.4848,0.8268,0.0494,0.1203
9,cat.png,cat,,0.613,0.6518,0.15,0.1537
22,podolic_cow (11).png,podolic_cow,2025-01-16T16:05:33,0.4781,0.0009,0.5218,0.9499
286,bird (74).png,bird,,0.5671,0.3787,0.0348,0.1166
590,weasel.png,weasel,,0.2817,0.749,0.1869,0.1222
656,bird (195).png,bird,,0.4182,0.562,0.0838,0.2675
645,boar (97).png,boar,,0.8541,0.3407,0.1458,0.6203
84,boar (8).png,boar,,0.7421,0.5175,0.2578,0.4342
314,fox (26).png,fox,2025-06-02T07:26:10,0.3755,0.5472,0.1098,0.1777
497,podolic_cow (205).png,podolic_cow,,0.0005,0.0009,0.7572,0.9509
573,podolic_cow (236).png,podolic_cow,2025-05-04T08:19:52,0.263,0.1583,0.3994,0.5546
259,podolic_cow (109).png,podolic_cow,2025-03-30T13:45:24,0.5177,0.1194,0.4822,0.8777
203,bird (53).png,bird,2025-04-19T07:42:26,0.3343,0.8333,0.0984,0.1018
196,fox (11).png,fox,,0.6463,0.625,0.1885,0.1694
294,bird (76).png,bird,,0.3697,0.787,0.0739,0.1074
